notice_date,address,district,inspection_date,date,judge_name,decision,complex_title,floors,apartments,parking_spaces,apartments_sold,avg_price_m2,land_use_right
08.12.2025,"Russian Federation, Donetsk People's Republic, Mariupol Urban District, ul. Arkhipa Kuindzhi, 56 (formerly ulitsa Artema, 56)",Central,11.09.2024,31.10.2024,Miterev Eldar Evgenievich,satisfied,Residential Complex Sadovye Kvartaly,16,434,0,-,-,Lease
19.02.2024,"Russian Federation, Donetsk People's Republic, Mariupol Urban District, prosp. Mira, 96 (formerly prosp. Lenina, 96)",Central,26.11.2024,21.01.2025,Akhtyamova Elvira Samatovna,satisfied,"Mariupol, Lenin Avenue, 96,building A",16,101,30,23%,"205,876",Lease
26.02.2024,"Russian Federation, Donetsk People's Republic, Mariupol Urban District, prosp. Mira, 133 (formerly prosp. Lenina, 133)",Central,16.09.2024,31.10.2024,Miterev Eldar Evgenievich,satisfied,"Residential complex ""Mirapolis""",17,130,-,73%,"160,813",Lease
10.07.2024,"Russian Federation, Donetsk People's Republic, Mariupol Urban District, prosp. Mira, 83 (formerly prosp. Lenina, 83)",Central,29.01.2025,03.03.2025,Pavlenko Denis Konstantinovich,satisfied,"Mariupol, Lenin Avenue 86 Building A",10,257,-,39%,"185,259",Lease
12.08.2025,"Russian Federation, Donetsk People's Republic, Mariupol Urban District, ul. Azovstalskaya, 160 (formerly prosp. Tulsky, 160)",Ordzhonikidzevsky,18.03.2026,10.03.2026,Markova Elena Vladimirovna,satisfied,"Mariupol, Tulsky Avenue 158 building D",16,175,-,34%,"139,433",Lease
13.12.2024,"Russian Federation, Donetsk People's Republic, Mariupol Urban District, ul. Italyanskaya, 131 (formerly ul. Apatova, 131)",Central,22.09.2025,01.12.2025,Boyko Victoria Olegovna,satisfied,"Residential complex ""TOPAZ""",9,79,-,22%,"185,714",Lease
19.02.2024,"Russian Federation, Donetsk People's Republic, Mariupol Urban District, ul. Troitskaya, 61 (formerly ul. 50 let SSSR, 61)",Central,17.12.2024,13.02.2025,Akhtyamova Elvira Samatovna,satisfied,"50th Anniversary of the USSR Street, Building 59a",10,128,-,0%,-,Lease
19.02.2024,"Russian Federation, Donetsk People's Republic, Mariupol Urban District, ul. Kuindzhi, 127 (formerly ul. Artema, 127)",Central,23.01.2025,06.03.2025,Akhtyamova Elvira Samatovna,satisfied,"Residential complex ""Garden Quarters""",16,434,-,0%,"202,005",Lease
19.02.2024,"Russian Federation, Donetsk People's Republic, Mariupol Urban District, ul. Orlika, 96 (formerly ul. Uritskogo, 96)",Zhovtnevy,20.09.2024,05.11.2024,Sazonova Yulia Yurievna,satisfied,"Mariupol, Zhovtnevyi district, Uritskogo street, 91",10,434,-,0%,-,Lease
19.02.2024,"Russian Federation, Donetsk People's Republic, Mariupol Urban District, ul. Hrushevskoho, 12 (formerly ul. 60 let SSSR, 12)",Zhovtnevy,05.11.2024,24.12.2024,Myagonkaya Tatyana Alexandrovna,satisfied,"Mariupol, 60th Anniversary of the USSR Street, Building 14, Building A",10,116,-,0%,-,Lease
